news_headline,news_article,news_category,full_text,clean_text,sentiment_score,sentiment_category
1st picture of Denmark's Eriksen since his heart starter implant surfaces,"The first picture of Denmark midfielder Christian Eriksen has emerged after he was discharged from hospital following his heart starter implant. Eriksen, who suffered cardiac arrest during Denmark's Euro 2020 opener against Finland on June 12, was pictured with a young fan at Tidvilde Strand beach in northern Denmark. ""He looked healthy...it was really nice to see,"" the fan said.",sports,"1st picture of Denmark's Eriksen since his heart starter implant surfaces. The first picture of Denmark midfielder Christian Eriksen has emerged after he was discharged from hospital following his heart starter implant. Eriksen, who suffered cardiac arrest during Denmark's Euro 2020 opener against Finland on June 12, was pictured with a young fan at Tidvilde Strand beach in northern Denmark. ""He looked healthy...it was really nice to see,"" the fan said.",st picture denmark eriksen since heart starter implant surface first picture denmark midfielder christian eriksen emerge discharge hospital follow heart starter implant eriksen suffer cardiac arrest denmark euro opener finland june picture young fan tidvilde strand beach northern denmark look healthy really nice see fan say,0.193,positive
England know how much it hurts to not reach final: Harry Kane ,"After scoring two goals in the quarter-final against Ukraine at Euro 2020, England captain Harry Kane said that England know how much it hurts to not go to the final. ""We have a vision of where we want to be, and this is winning a tournament,"" he added. England had lost the semi-finals of 2018 FIFA World Cup against Croatia.",sports,"England know how much it hurts to not reach final: Harry Kane . After scoring two goals in the quarter-final against Ukraine at Euro 2020, England captain Harry Kane said that England know how much it hurts to not go to the final. ""We have a vision of where we want to be, and this is winning a tournament,"" he added. England had lost the semi-finals of 2018 FIFA World Cup against Croatia.",england know much hurt not reach final harry kane score two goal quarter final ukraine euro england captain harry kane say england know much hurt not go final vision want win tournament add england lose semi final fifa world cup croatia,0.171,positive
Will be sprint world champion next year: Sha'Carri after +ve dope test,"American sprinter Sha'Carri Richardson has said she will be the world champion next year after missing out on the upcoming Tokyo Olympics as she tested positive for the consumption of marijuana. The 21-year-old won the women's 100-metre race at the US track and field trials in Oregon last month, but her positive test automatically invalidated her result.",sports,"Will be sprint world champion next year: Sha'Carri after +ve dope test. American sprinter Sha'Carri Richardson has said she will be the world champion next year after missing out on the upcoming Tokyo Olympics as she tested positive for the consumption of marijuana. The 21-year-old won the women's 100-metre race at the US track and field trials in Oregon last month, but her positive test automatically invalidated her result.",sprint world champion next year shacarri dope test american sprinter shacarri richardson say world champion next year miss upcoming tokyo olympic test positive consumption marijuana year old win women metre race track field trial oregon last month positive test automatically invalidate result,0.169,positive
I have improved a lot since Rio 2016: Para javelin thrower Sandeep,"Ahead of Tokyo Paralympics, world champion para javelin thrower Sandeep Chaudhary said he has improved since finishing fourth at 2016 Rio Paralympics and 2017 World Para Athletics Championships. ""It's because of that hard work after those setbacks that I broke the world record...and again improved the world record by winning gold at 2019 World Para Athletics Championships,"" he added. ",sports,"I have improved a lot since Rio 2016: Para javelin thrower Sandeep. Ahead of Tokyo Paralympics, world champion para javelin thrower Sandeep Chaudhary said he has improved since finishing fourth at 2016 Rio Paralympics and 2017 World Para Athletics Championships. ""It's because of that hard work after those setbacks that I broke the world record...and again improved the world record by winning gold at 2019 World Para Athletics Championships,"" he added. ",I improve lot since rio para javelin thrower sandeep ahead tokyo paralympic world champion para javelin thrower sandeep chaudhary say improve since finish fourth rio paralympic world para athletic championship hard work setback I break world record improve world record win gold world para athletic championship add,0.169,positive
"World no. 1 cyclist Roglic shares his pic after crash, calls himself a 'mummy'","World number one cyclist Primoz Roglic suffered bruises after falling on his left side with 10 kilometres left during Tour de France third stage. The Slovenian, who finished as runner-up last year, took to Instagram to share a picture of himself showing bandages all around his body and called himself a ""mummy"". ""The situation is far from good,"" he wrote.",sports,"World no. 1 cyclist Roglic shares his pic after crash, calls himself a 'mummy'. World number one cyclist Primoz Roglic suffered bruises after falling on his left side with 10 kilometres left during Tour de France third stage. The Slovenian, who finished as runner-up last year, took to Instagram to share a picture of himself showing bandages all around his body and called himself a ""mummy"". ""The situation is far from good,"" he wrote.",world no cyclist roglic share pic crash call mummy world number one cyclist primoz roglic suffer bruise fall left side kilometre leave tour de france third stage slovenian finish runner last year take instagram share picture show bandage around body call mummy situation far good write,0.16,positive
"25-yr-old Warholm becomes fastest man to run 400 m hurdles, breaks 29-yr-old record","Norway's Karsten Warholm became the fastest man to run 400-metre hurdles after completing the race in 46.70 seconds at Diamond League meeting in Oslo on Thursday. The 25-year-old beat 1992 Olympic champion Kevin Young's mark of 46.78 seconds. Young's record was the longest-standing record in men's track history. ""It might take another world record to win the Olympics,"" Warholm said.",sports,"25-yr-old Warholm becomes fastest man to run 400 m hurdles, breaks 29-yr-old record. Norway's Karsten Warholm became the fastest man to run 400-metre hurdles after completing the race in 46.70 seconds at Diamond League meeting in Oslo on Thursday. The 25-year-old beat 1992 Olympic champion Kevin Young's mark of 46.78 seconds. Young's record was the longest-standing record in men's track history. ""It might take another world record to win the Olympics,"" Warholm said.",yr old warholm become fast man run hurdle break yr old record norway karsten warholm become fast man run metre hurdle complete race second diamond league meeting oslo thursday year old beat olympic champion kevin young mark second young record long stand record men track history might take another world record win olympic warholm say,0.146,positive
39-yr-old Federer oldest in 46 years to reach 3rd round at Wimbledon,"Eight-time champion Roger Federer on Thursday became the oldest player in 46 years to reach the third round of Wimbledon after defeating Frenchman Richard Gasquet 7-6(7-1), 6-1, 6-4 in the second round. ""It was a wonderful match for me and I'm really happy with my performance,"" said the 39-year-old. Federer will face 29th seed Cameron Norrie of Britain on Saturday.
",sports,"39-yr-old Federer oldest in 46 years to reach 3rd round at Wimbledon. Eight-time champion Roger Federer on Thursday became the oldest player in 46 years to reach the third round of Wimbledon after defeating Frenchman Richard Gasquet 7-6(7-1), 6-1, 6-4 in the second round. ""It was a wonderful match for me and I'm really happy with my performance,"" said the 39-year-old. Federer will face 29th seed Cameron Norrie of Britain on Saturday.
",yr old federer old year reach rd round wimbledon eight time champion roger federer thursday become old player year reach third round wimbledon defeat frenchman richard gasquet second round wonderful match I I really happy performance say year old federer face th seed cameron norrie britain saturday,0.145,positive
"41-yr-old Gayle performs cartwheel celebration after taking wicket, video goes viral","West Indies' 41-year-old all-rounder Chris Gayle did a cartwheel celebration after dismissing South Africa opener Reeza Hendricks off his first delivery in the fourth T20I. Reacting to the celebration, Dale Steyn tweeted, ""Chris Gayle is the coolest cricketer alive."" Meanwhile, a fan commented, ""Are you really 41?"" Gayle registered bowling figures of 2-0-11-1 in the match.",sports,"41-yr-old Gayle performs cartwheel celebration after taking wicket, video goes viral. West Indies' 41-year-old all-rounder Chris Gayle did a cartwheel celebration after dismissing South Africa opener Reeza Hendricks off his first delivery in the fourth T20I. Reacting to the celebration, Dale Steyn tweeted, ""Chris Gayle is the coolest cricketer alive."" Meanwhile, a fan commented, ""Are you really 41?"" Gayle registered bowling figures of 2-0-11-1 in the match.",yr old gayle perform cartwheel celebration take wicket video go viral west indie year old rounder chris gayle cartwheel celebration dismiss south africa opener reeza hendrick first delivery fourth ti react celebration dale steyn tweet chris gayle cool cricketer alive meanwhile fan comment really gayle register bowling figure match,0.138,positive
Dhawan will be keen to make his case for T20 WC in SL tour: Laxman,"Ex-India batsman VVS Laxman said that India skipper for Sri Lanka tour, Shikhar Dhawan, will be very clear to show consistent performances against the hosts, keeping T20 World Cup in mind. ""There's so much competition for places [openers]...Rohit Sharma and KL Rahul are established openers, [and] Virat Kohli...clearly mentioned that he wants to open in T20I format,"" he added.",sports,"Dhawan will be keen to make his case for T20 WC in SL tour: Laxman. Ex-India batsman VVS Laxman said that India skipper for Sri Lanka tour, Shikhar Dhawan, will be very clear to show consistent performances against the hosts, keeping T20 World Cup in mind. ""There's so much competition for places [openers]...Rohit Sharma and KL Rahul are established openers, [and] Virat Kohli...clearly mentioned that he wants to open in T20I format,"" he added.",dhawan keen make case wc sl tour laxman ex india batsman vvs laxman say india skipper sri lanka tour shikhar dhawan clear show consistent performance host keep world cup mind much competition place [ openers ] rohit sharma kl rahul establish opener [ ] virat kohli clearly mention want open ti format add,0.13,positive
T20 World Cup will be crucial for Kohli's captaincy career: Karim,"Ex-India wicketkeeper-batsman Saba Karim has said the 2021 T20 World Cup could be the defining moment of Virat Kohli's captaincy career. ""I feel the pressure is increasing on Kohli. He himself knows that he hasn't won an ICC trophy as a skipper,"" he added. ""I have the expectation that India will win this trophy on November 14,"" he further said.",sports,"T20 World Cup will be crucial for Kohli's captaincy career: Karim. Ex-India wicketkeeper-batsman Saba Karim has said the 2021 T20 World Cup could be the defining moment of Virat Kohli's captaincy career. ""I feel the pressure is increasing on Kohli. He himself knows that he hasn't won an ICC trophy as a skipper,"" he added. ""I have the expectation that India will win this trophy on November 14,"" he further said.",world cup crucial kohli captaincy career karim ex india wicketkeep batsman saba karim say world cup could define moment virat kohli captaincy career I feel pressure increase kohli know not win icc trophy skipper add I expectation india win trophy november far say,0.125,positive
Virat Kohli never demanded best-of-3 WTC final: Ashwin,"India off-spinner Ravichandran Ashwin spoke in the defence of Virat Kohli, saying the skipper only expressed his opinion that the WTC final should be a best-of-three final rather than a one-off Test. He added that Kohli never demanded the format to be changed. India lost the inaugural WTC final to New Zealand by eight wickets in Southampton last month.",sports,"Virat Kohli never demanded best-of-3 WTC final: Ashwin. India off-spinner Ravichandran Ashwin spoke in the defence of Virat Kohli, saying the skipper only expressed his opinion that the WTC final should be a best-of-three final rather than a one-off Test. He added that Kohli never demanded the format to be changed. India lost the inaugural WTC final to New Zealand by eight wickets in Southampton last month.",virat kohli never demand well wtc final ashwin india spinner ravichandran ashwin speak defence virat kohli say skipper express opinion wtc final good three final rather one test add kohli never demand format change india lose inaugural wtc final new zealand eight wicket southampton last month,0.119,positive
Mayank should open in England Tests if Gill misses out due to injury: Jaffer,"Wasim Jaffer has said Mayank Agarwal should open in England Tests if Shubman Gill misses out due to injury. Jaffer's remark comes after reports of Gill sustaining a leg injury surfaced. Jaffer added, ""Mayank has had an excellent career so far. He was dropped after two poor outings in Australia but I'm sure he'll be looking forward to this opportunity.""",sports,"Mayank should open in England Tests if Gill misses out due to injury: Jaffer. Wasim Jaffer has said Mayank Agarwal should open in England Tests if Shubman Gill misses out due to injury. Jaffer's remark comes after reports of Gill sustaining a leg injury surfaced. Jaffer added, ""Mayank has had an excellent career so far. He was dropped after two poor outings in Australia but I'm sure he'll be looking forward to this opportunity.""",mayank open england test gill miss due injury jaffer wasim jaffer say mayank agarwal open england test shubman gill miss due injury jaffer remark come report gill sustain leg injury surface jaffer add mayank excellent career far drop two poor outing australia I sure look forward opportunity,0.119,positive
Eriksen incident in Euro did something to Denmark squad: Captain Kjaer,"After Denmark's win against Czech Republic in the quarter-finals of Euro 2020, captain Simon Kjaer said that Christian Eriksen's cardiac arrest in the opening match of the tournament did something to the group. He added that it brought the squad together. ""We know we can trust the people around us,"" he added. Denmark will face England in semi-finals on Wednesday.",sports,"Eriksen incident in Euro did something to Denmark squad: Captain Kjaer. After Denmark's win against Czech Republic in the quarter-finals of Euro 2020, captain Simon Kjaer said that Christian Eriksen's cardiac arrest in the opening match of the tournament did something to the group. He added that it brought the squad together. ""We know we can trust the people around us,"" he added. Denmark will face England in semi-finals on Wednesday.",eriksen incident euro something denmark squad captain kjaer denmark win czech republic quarter final euro captain simon kjaer say christian eriksen cardiac arrest opening match tournament something group add bring squad together know trust people around add denmark face england semi final wednesday,0.117,positive
"Federer records 1,250th match win, enters 4th round at Wimbledon","World number eight Roger Federer recorded 1,250th match win of his career by defeating 29th seed Cameron Norrie 6-4, 6-4, 5-7, 6-4 in the third round at Wimbledon on Saturday. The 39-year-old reached the fourth round for the record-extending 18th time. Overall, it is Federer's 69th Grand Slam fourth round. Federer will face 23rd seed Lorenzo Sonego on Monday.",sports,"Federer records 1,250th match win, enters 4th round at Wimbledon. World number eight Roger Federer recorded 1,250th match win of his career by defeating 29th seed Cameron Norrie 6-4, 6-4, 5-7, 6-4 in the third round at Wimbledon on Saturday. The 39-year-old reached the fourth round for the record-extending 18th time. Overall, it is Federer's 69th Grand Slam fourth round. Federer will face 23rd seed Lorenzo Sonego on Monday.",federer record th match win enter th round wimbledon world number eight roger federer record th match win career defeat th seed cameron norrie third round wimbledon saturday year old reach fourth round record extend th time overall federer th grand slam fourth round federer face rd seed lorenzo sonego monday,0.117,positive
"Italian footballer rolling on ground in pain jumps to celebrate goal, video viral","A video of Italy forward Ciro Immobile rolling on ground in pain after allegedly injuring himself and then immediately jumping to celebrate his team's goal in 31st minute of Euro 2020 quarter-final against Belgium went viral. Several social media users accused Immobile of faking injury to try to win a penalty. ""Immobile should get Best Actor Oscar,"" a user tweeted.",sports,"Italian footballer rolling on ground in pain jumps to celebrate goal, video viral. A video of Italy forward Ciro Immobile rolling on ground in pain after allegedly injuring himself and then immediately jumping to celebrate his team's goal in 31st minute of Euro 2020 quarter-final against Belgium went viral. Several social media users accused Immobile of faking injury to try to win a penalty. ""Immobile should get Best Actor Oscar,"" a user tweeted.",italian footballer roll ground pain jump celebrate goal video viral video italy forward ciro immobile rolling ground pain allegedly injure immediately jump celebrate team goal st minute euro quarter final belgium go viral several social medium user accuse immobile fake injury try win penalty immobile get good actor oscar user tweet,0.117,positive
Sneh has a bigger role to play for India Women in coming years: Mithali,"After defeating England Women in the third and final ODI, India Women skipper Mithali Raj said that all-rounder Sneh Rana has a bigger role playing for India in the coming years. ""Sneh has definitely shown that she does have the character in her to be built into a good player,"" she added. India Women beat England Women by four wickets.
",sports,"Sneh has a bigger role to play for India Women in coming years: Mithali. After defeating England Women in the third and final ODI, India Women skipper Mithali Raj said that all-rounder Sneh Rana has a bigger role playing for India in the coming years. ""Sneh has definitely shown that she does have the character in her to be built into a good player,"" she added. India Women beat England Women by four wickets.
",sneh big role play india woman come year mithali defeat england woman third final odi india woman skipper mithali raj say rounder sneh rana big role playing india come year sneh definitely show character build good player add india woman beat england woman four wicket,0.117,positive
SLC responds after Ranatunga says ‘hosting second string Team India an insult',"After ex-Sri Lanka captain Arjuna Ranatunga said hosting series against 'second-string' India is an insult to Sri Lanka Cricket (SLC), the cricket board said India's white-ball team is a strong squad. It added 14 out of 20 players have represented India. It further said that India's Test squad is in England and maintaining separate squads is the new norm.",sports,"SLC responds after Ranatunga says ‘hosting second string Team India an insult'. After ex-Sri Lanka captain Arjuna Ranatunga said hosting series against 'second-string' India is an insult to Sri Lanka Cricket (SLC), the cricket board said India's white-ball team is a strong squad. It added 14 out of 20 players have represented India. It further said that India's Test squad is in England and maintaining separate squads is the new norm.",slc respond ranatunga say host second string team india insult ex sri lanka captain arjuna ranatunga say host series second string india insult sri lanka cricket slc cricket board say india white ball team strong squad add player represent india far say india test squad england maintain separate squad new norm,0.112,positive
Tunisia's Ons Jabeur 1st Arab woman to reach Wimbledon 4th round,"Tunisia's Ons Jabeur became the first Arab woman to reach the fourth round at Wimbledon after defeating 2017 champion Garbine Muguruza 5-7, 6-3, 6-2 in the third round on Friday. ""It means a lot. Especially so many Arab people watching me and supporting me. But I don't want the journey to stop here...I'm doing amazing,"" said Jabeur. 
",sports,"Tunisia's Ons Jabeur 1st Arab woman to reach Wimbledon 4th round. Tunisia's Ons Jabeur became the first Arab woman to reach the fourth round at Wimbledon after defeating 2017 champion Garbine Muguruza 5-7, 6-3, 6-2 in the third round on Friday. ""It means a lot. Especially so many Arab people watching me and supporting me. But I don't want the journey to stop here...I'm doing amazing,"" said Jabeur. 
",tunisia ons jabeur st arab woman reach wimbledon th round tunisia ons jabeur become first arab woman reach fourth round wimbledon defeat champion garbine muguruza third round friday mean lot especially many arab people watch I support I I not want journey stop I amazing say jabeur,0.104,positive
Serena Williams breaks down on court after retiring from Wimbledon 2021 in first round,"Twenty three-time Grand Slam champion Serena Williams broke down on court as she bowed out of Wimbledon 2021 after stopping play in her first-round match due to a leg injury. Serena was 3-1 up in the first set before she sustained the injury and retired when the scoreline read 3-3. ""I was heartbroken to have to withdraw,"" she later said.",sports,"Serena Williams breaks down on court after retiring from Wimbledon 2021 in first round. Twenty three-time Grand Slam champion Serena Williams broke down on court as she bowed out of Wimbledon 2021 after stopping play in her first-round match due to a leg injury. Serena was 3-1 up in the first set before she sustained the injury and retired when the scoreline read 3-3. ""I was heartbroken to have to withdraw,"" she later said.",serena william break court retire wimbledon first round twenty three time grand slam champion serena william break court bow wimbledon stop play first round match due leg injury serena first set sustain injury retire scoreline read I heartbroken withdraw later say,0.091,positive
